genes,mod_types,rmgm_id,reference_pubmed1
PBANKA_0623100,disrupted,1,22184632
PBANKA_1433600,disrupted,1,22184632
PBANKA_0205000,disrupted,1,22184632
PBANKA_0508100,disrupted,1,22184632
PBANKA_0618600,disrupted,1,22184632
PBANKA_1319000,disrupted,1,22184632
PBANKA_1331400,disrupted,1,22184632
PBANKA_1338400,disrupted,1,22184632
PBANKA_1342800,disrupted,1,22184632
PBANKA_1233500,disrupted,1,21625527
PBANKA_1233500,disrupted,1,21625527
PBANKA_0719200,disrupted,1,21625527
PBANKA_0719200,disrupted,1,21625527
PBANKA_1225000,disrupted,1,20951971
PBANKA_0314200,disrupted,1,20951971
PBANKA_1019800,disrupted,1,20951971
PBANKA_0409400,disrupted,1,20951971
PBANKA_1318000,disrupted,1,20951971
PBANKA_1460500,disrupted,1,20951971
PBANKA_0827100,disrupted,1,20951971
PBANKA_0310300,disrupted,1,20951971
PBANKA_1133200,disrupted,1,20951971
PBANKA_1013300,disrupted,1,20951971
PBANKA_0709700,disrupted,1,20951971
PBANKA_0401100,disrupted,1,20951971
PBANKA_1306900,disrupted,1,20951971
PBANKA_1352600,disrupted,1,20951971
PBANKA_1308400,disrupted,1,20951971
PBANKA_0205800,disrupted,1,20951971
PBANKA_1122700,disrupted,1,20951971
PBANKA_0927000,disrupted,1,20951971
PBANKA_0826900,disrupted,1,20951971
PBANKA_1351500,disrupted,1,20951971
PBANKA_0925200,disrupted,1,20951971
PBANKA_1453400,disrupted,1,20951971
PBANKA_0829600,disrupted,1,20951971
PBANKA_0311400,disrupted,1,20951971
PBANKA_1313700,disrupted,1,20951971
PBANKA_1413600,disrupted,1,20951971
PBANKA_0835600,disrupted,1,20951971
PBANKA_1008200,disrupted,1,20951971
PBANKA_1460000,disrupted,1,20951971
PBANKA_0926400,disrupted,1,20951971
PBANKA_0407400,disrupted,1,20951971
PBANKA_1133100,disrupted,1,20951971
PBANKA_0903800,disrupted,1,20951971
PBANKA_0104100,disrupted,1,20951971
PBANKA_0615800,disrupted,1,20951971
PBANKA_0912100,disrupted,1,20951971
PBANKA_1212800,disrupted,1,20951971
PBANKA_0719900,disrupted,1,20951971
PBANKA_0717300,disrupted,1,20951971
PBANKA_1230200,disrupted,1,20951971
PBANKA_1350900,disrupted,1,20951971
PBANKA_0938600,disrupted,1,20951971
PBANKA_0410400,disrupted,1,20951971
PBANKA_1414500,disrupted,1,20951971
PBANKA_1309200,disrupted,1,20951971
PBANKA_0933000,disrupted,1,20951971
PBANKA_0808000,disrupted,1,20951971
PBANKA_1443000,disrupted,1,20951971
PBANKA_0600600,disrupted,1,20951971
PBANKA_1126900,disrupted,1,20951971
PBANKA_0901100,disrupted,1,20951971
PBANKA_1305200,disrupted,1,20951971
PBANKA_1421600,disrupted,1,20951971
PBANKA_1228800,disrupted,1,20951971
PBANKA_0308500,disrupted,1,20951971
PBANKA_1362100,disrupted,1,20951971
PBANKA_1010900,disrupted,1,20951971
PBANKA_0805600,disrupted,1,20951971
PBANKA_1217100,disrupted,1,20951971
PBANKA_0940100,disrupted,1,20951971
PBANKA_0826800,disrupted,1,20951971
PBANKA_1345900,disrupted,1,20951971
PBANKA_0621500,disrupted,1,20951971
PBANKA_1445600,disrupted,1,20951971
PBANKA_0521400,disrupted,1,20951971
PBANKA_0606700,disrupted,1,21453484
PBANKA_1300800,disrupted,1,21453484
PBANKA_0824700,disrupted,1,20852334
PBANKA_1023400,disrupted,1,20852334
PBANKA_0917400,disrupted,1,20886115
PBANKA_1233500,disrupted,1,21625527
PBANKA_0719200,disrupted,1,21625527
PBANKA_1002200,disrupted,1,20921402
PBANKA_0519000,disrupted,1,22184632
PBANKA_1002100,disrupted,1,22342550
PBANKA_1002200,disrupted,1,22342550
PBANKA_1125100,disrupted,1,22342550
PBANKA_1125100,disrupted,1,22342550
PBANKA_1436600,disrupted,1,21098480
PBANKA_1436600,disrupted,1,21098480
PBANKA_0907100,disrupted,1,21098480
PBANKA_0302500,mutated,1,21169382
PBANKA_1212600,mutated,1,21209845
PBANKA_1212600,mutated,1,21209845
PBANKA_1212600,mutated,1,21209845
PBANKA_0403200,mutated,1,21262960
PBANKA_0403200,mutated,1,21262960
PBANKA_1219500,mutated,1,21288823
PBANKA_1219500,mutated,1,21288823
PBANKA_1219500,disrupted,1,21288823
PBANKA_0403200,mutated,1,21445239
PBANKA_0403200,mutated,1,21445239
PY17X_1468100,disrupted,1,21625465
PBANKA_1233500,disrupted,1,21673790
PBANKA_0719200,disrupted,1,21673790
PBANKA_1211900,disrupted,1,21651909
PBANKA_0715500,disrupted,1,21689687
PBANKA_1116000,disrupted,1,21698220
PBANKA_0412900,mutated,1,21729699
PBANKA_0412900,mutated,1,21729699
PBANKA_0208300,disrupted,1,21752110
PBANKA_0208300,disrupted,1,21752110
PBANKA_0816000,disrupted,1,21771793
PBANKA_1030100,disrupted,1,21790945
PBANKA_1426200,disrupted,1,21803864
